способный: able
сад: garden
газ: gas
генеральный: general
как правило: generally
поколение: generation
география: geography
немецкий: german
Германия: Germany
получает: gets
получать: getting
девушка: girlfriend
давать: give
дал: given
дает: gives
давать: giving
стекло: glass
глобальный: global
идти: go
гол: goal
идет: goes
идти: going
золото: gold
прошёл: gone
хороший: good
правительство: government
губернаторы: governors
класс: grade
дед: grandfather
бабушка: grandmother
трава: grass
отличный: great
земля: ground
группа: group
охранник: guard
гид: guide
спортзал: gym
имел: had
волосы: hair
​​половина: half
рука: hand
происходить: happening
счастливый: happy
жесткий: hard
было: has
ненавидеть: hate
было: have
иметь: having
голова: head
здоровье: health
слышать: hear
услышал: heard
слышит: hears
сердце: heart
тепло: heat
высота: height
помощь: help
помогает: helps
здесь: here
исторический: historical
история: history
дом: home
честь: honor
надежда: hope
больница: hospital
горячий: hot
гостиница: hotel
час: hour
дом: house
как: how
однако: however
человеческий: human
люди: humans
юмор: humor
сто: hundred
муж: husband
идея: idea
идентичность: identity
если: if
болен: ill
болезнь: illness
изображение: images
импортирует: import
важность: importance
важный: important
невозможный: impossible
улучшать: improve
в: in
включать: include
включает: includes
включать: including
увеличивать: increase
независимый: independent
личность: individuals
промышленность: industry
информация: information
внутри: inside
экземпляр: instance
институт: institute
инструмент: instrument
страхование: insurance
интерес: interest
интересный: interesting
международный: international
интернет: internet
интервью: interview
в: into
вводить: introduce
внедрил: introduced
введение: introduction
исследование: investigation
инвестиции: investment
остров: island
вопрос: issue
итальянский: italian
итальянский: italians
январь: january
работа: job
журналист: journalist
путешествие: journey
радость: joy
судья: judge
июль: july
прыжок: jump
прыжки: jumps
июнь: june
просто: just
ключ: key
удар: kick
вид: kind
король: king
кухня: kitchen
нож: knife
знать: know
знания: knowledge
знал: known
знает: knows
лаборатория: laboratory
отсутствие: lack
леди: lady
лампа: lamp
земля: land
пейзаж: landscape
язык: language
большой: large
последний: last
поздно: late
позже: later
закон: law
юрист: lawyer
лидер: leader
лист: leaf
по крайней мере: least
оставлять: leave
оставляет: leaves
покидать: leaving
лекция: lecture
оставил: left
юридический: legal
ноги: legs
длина: length
менее: less
позволять: let
позволяет: lets
письмо: letter
уровень: level
библиотека: library
жизнь: life
свет: light
как: like
любит: likes
предел: limit
линия: line
губы: lips
список: list
слушать: listen
слушает: listens
литература: literature
маленький: little
жить: live
жил: lived
живет: lives
живой: living
нагрузка: load
местный: local
длинный: long
смотреть: look
смотреть: looking
смотрит: looks
потерять: lose
потерял: lost
лот: lot
любовь: love
любит: loves
удача: luck
машина: machine
журнал: magazine
главный: main
большинство: majority
сделать: make
делает: makes
делать: making
много: many
карта: map
марафон: marathon
март: march
пометить: mark
рынок: market
брак: marriage
масса: mass
матч: match
материал: material
материя: matter
май: may
мэр: mayor
смысл: meaning
мера: measure
медицина: medicine
встречаться: meet
встреча: meetings
участники: members
память: memory
сообщение: message
встретил: met
метр: meter
метод: method
военный: military
миллион: million
ум: mind
минимальный: minimum
минута: minute
зеркало: mirror
скучать: miss
пропустил: missed
ошибка: mistake
смешивает: mix
модель: model
современный: modern
момент: moment
понедельник: monday
деньги: money
месяцы: months
луна: moon
больше: more
утро: morning
мать: mother
двигатель: motor
мотоцикл: motorcycle
гора: mountain
рот: mouth
кино: movie
много: much
убийство: murder
музей: museum
музыка: music
музыка: musical
должен: must
имя: name
национальный: national
природа: nature
военно-морской флот: navy
рядом: near
обязательно: necessarily
необходимый: necessary
шея: neck
нуждаться: need
нуждается: needs
отрицательный: negative
окрестности: neighborhood
ни: neither
сеть: network
никогда: never
новый: new
новости: news
следующий: next
приятный: nice
ночь: night
девять: nine
девятнадцать: nineteen
девяносто: ninety
не: no
никого: nobody
шум: noise
никого: none
ни: nor
нормальный: normal
обычно: normally
север: north
нос: nose
примечание: note
ничего: nothing
роман: novel
ноябрь: november
сейчас: now
число: number
медсестра: nurse
объект: object
цель: objective
случай: occasion
октябрь: october
из: of
от: off
предлагать: offer
предлагает: offers
офис: office
офицер: officer
официальный: official
старый: old
старый: older
на: on
однажды: once
один: one
только: only
открывать: open
открыл: opened
открытие: opening
открывает: opens
операция: operation
мнение: opinion
возможности: opportunity
противоположный: opposite
выбор: option
или: or
заказ: order
заказал: ordered
организация: organization
происхождение: origin
другой: other
вне: out
над: over
собственный: own
страницы: pages
заплатил: paid
боль: pain
краска: paint
живопись: painting
пара: pair
дворец: palace
кастрюля: pan
бумага: paper
родители: parents
парк: park
парламент: parliament
часть: part
вечеринка: party
пройти: pass
прошел: passed
паспорт: passport
тропы: paths
пациенты: patients
платить: pay
платить: paying
платит: pays
мир: peace
ручка: pen
человек: people
в: per
совершенный: perfect
совершенно: perfectly
представление: performance
выполнил: performed
период: period
разрешение: permission
разрешение: permit
персона: person
персональный: personal
личность: personality
философия: philosophy
телефон: phone
фото: photo
фотография: photography
фраза: phrase
физика: physics
фотография: pictures
кусок: piece
место: place
план: plan
самолет: plane
планета: planet
растение: plant
играть: play
играл: played
игрок: player
играть: playing
играет: plays
удовольствие: pleasure
поэзия: poetry
точка: point
полиция: police
бассейн: pool
бедный: poor
популярный: popular
население: population
порт: port
португальский: portuguese
позиция: position
позитивный: positive
возможность: possibility
возможный: possible
возможно: possibly
открытка: postcard
порошок: powder
сила: power
практика: practice
подготовка: preparation
готовить: prepare
подготовил: prepared
представлять: present
презентация: presentation
представил: presented
представляет: presents
президент: president
пресса: press
красивый: prettier
красивый: pretty
предотвращать: prevent
предыдущий: previous
ранее: previously
цена: price
принц: prince
тюрьма: prison
частный: private
приз: prize
проблема: problem
производить: produce
произвел: produced
производит: produces
продукт: product
производство: production
профессия: profession
профессиональный: professional
профессор: professor
профиль: profile
программа: program
прогресс: progress
проект: project
продвижение: promotion
собственность: property
защита: protection
открытый: public
публикация: publication
чистый: pure
цель: purpose
положил: put
ставит: puts
качество: quality
количество: quantity
королева: queen
ракетка: racket
радио: radio
дождь: rain
прошел дождь: rained
дождь: raining
дождь: rains
поднимать: raise
бритва: razor
достигать: reach
прочитал: read
читать: reading
готов: ready
настоящий: real
реальность: reality
реально: really
причина: reason
получил: received
получает: receives
недавний: recent
запись: record
восстанавливать: recover
уменьшил: reduced
регион: region
отношения: relations
отношения: relationship
религия: religion
религиозный: religious
запомнить: remember
повторять: repeat
отчёт: report
исследование: research
резервирует: reserve
бронирует: reserves
уважение: respect
отвечать: respond
ответ: response
ответственность: responsibility
ответственный: responsible
отдых: rest
ресторан: restaurant
результаты: results
возвращать: return
возвращает: returns
обзор: review
богатый: rich
справа: right
риски: risks
река: river
дорога: road
роль: role
крыша: roof
комната: room
корень: root
розы: roses
маршрут: route
бегать: run
бежать: running
бежит: runs
грустный: sad
безопасность: safety
сказал: said
продажа: sale
тот же: same
образец: sample
песок: sand
суббота: saturday
сохранять: save
сказать: say
говорить: saying
говорит: says
масштаб: scale
сцена: scene
школа: school
наука: science
ученый: scientist
ножницы: scissors
забитый: scored
экран: screen
море: sea
поиск: search
ищет: searches
сезон: season
секунда: second
секрет: secret
секретарь: secretary
раздел: section
безопасность: security
видеть: see
видеть: seeing
кажется: seems
видел: seen
видит: sees
сенатор: senator
отправил: sent
сентябрь: september
серьезный: serious
обслуживать: serve
обслуживает: serves
сервис: service
устанавливает: sets
семь: seven
семнадцать: seventeen
семьдесят: seventy
тень: shadow
форма: shape
резкий: sharp
листы: sheets
корабль: ship
короткий: short
должен: should
показать: show
показывает: shows
закрывать: shut
братья и сестры: siblings
больной: sick
противоположная сторона: side
вид: sight
подписывать: sign
сигнал: signal
подпись: signature
подписывает: signs
простой: simple
с тех пор: since
поет: sing
сестра: sister
место: site
сидеть: sitting
ситуации: situations
шесть: six
шестнадцать: sixteen
шестьдесят: sixty
размеры: sizes
кожа: skin
небо: sky
спать: sleep
спать: sleeping
спит: sleeps
медленно: slowly
маленький: small
меньше: smaller
улыбка: smile
дым: smoke
так: so
мыло: soap
футбол: soccer
общество: society
диван: sofa
почва: soil
солдаты: soldiers
решение: solution
некоторые: some
некто: someone
что-то: something
иногда: sometimes
сын: son
песня: song
скоро: soon
звук: sound
юг: south
пространство: space
испанский: spanish
говорить: speaking
специальный: special
речь: speech
скорость: speed
тратит: spend
говорил: spoken
губка: sponge
ложка: spoon
спорт: sports
весна: spring
площадь: square
персонал: staff
этап: stage
марки: stamps
звезда: star
начало: start
начинать: starting
начинает: starts
станция: station
оставаться: stay
шаг: step
до сих пор: still
камень: stone
останавливаться: stop
остановился: stopped
рассказ: story
стратегия: strategy
улицы: streets
сила: strength
забастовка: strike
строка: string
сильный: strong
студент: student
изучение: studies
исследование: study
изучать: studying
стиль: style
тема: subject
метро: subway
успех: success
такие: such
страдать: suffer
чемодан: suitcase
сумма: sum
лето: summer
солнце: sun
воскресенье: sunday
поддерживать: support
поддерживает: supports
конечно: sure
поверхность: surface
сюрприз: surprise
сладкий: sweet
плавать: swim
плавать: swimming
плавает: swims
символ: symbol
система: system
столы: tables
взять: take
взял: taken
берет: takes
брать: taking
говорить: talk
разговаривать: talking
разговаривает: talks
высокий: tall
задача: task
налоги: taxes
учитель: teacher
обучение: teaching
команда: team
техника: technique
технология: technology
зубы: teeth
телефон: telephone
телевизор: television
рассказать: tell
рассказывает: tells
температуры: temperatures
десять: ten
теннис: tennis
тест: test
текст: text
чем: than
благодарить: thank
что: that
театр: theater
тогда: then
теория: theory
там: there
эти: these
вещи: things
думать: think
думать: thinking
думает: thinks
третий: third
тринадцать: thirteen
тридцать: thirty
это: this
тех: those
хотя: though
тысячи: thousands
угроза: threat
три: three
сквозь: through
четверг: thursday
время: time
усталый: tired
заголовок: title
на: to
сегодня: today
вместе: together
сказал: told
завтра: tomorrow
язык: tongue
этим вечером: tonight
слишком: too
зубная щетка: toothbrush
зубная паста: toothpaste
верх: top
полный: total
прикосновение: touch
касаться: touching
турист: tourist
в направлении к: towards
башни: towers
город: town
торговля: trade
традиция: tradition
традиционный: traditional
трафик: traffic
поезд: train
тренировка: training
транспорт: transportation
путешествия: travel
путешествует: travels
лечение: treatment
деревья: trees
тренд: trend
попробовал: tried
пытается: tries
поездка: trip
истинный: true
доверять: trust
правда: truth
попробовать: try
пытаться: trying
вторник: tuesday
поворот: turn
повернулся: turned
поворачивает: turns
телевизор: tv
двенадцать: twelve
двадцать: twenty
дважды: twice
два: two
типы: types
зонтик: umbrella
дядя: uncle
под: under
понимать: understand
союз: union
единица: unit
вселенная: universe
университет: university
до: until
вверх: up
использовать: use
использует: uses
обычно: usually
долина: valley
ценность: value
транспортное средство: vehicle
версия: version
очень: very
жертвы: victims
вид: view
деревня: village
насилие: violence
скрипка: violin
вирус: virus
видение: vision
посещение: visit
посещает: visits
голос: voice
вулкан: volcano
волейбол: volleyball
объем: volume
голосование: vote
ожидать: wait
официант: waiter
ждать: waiting
официантка: waitress
будить: wake
прогулка: walk
ходил: walked
ходить: walking
ходит: walks
стена: wall
кошелек: wallet
хотеть: want
хотел: wanted
хочет: wants
война: war
часы: watch
смотрит: watches
смотреть: watching
путь: way
слабый: weak
богатство: wealth
оружие: weapon
носить: wearing
погода: weather
среда: wednesday
неделя: week
вес: weight
хорошо: well
запад: west
колесо: wheel
когда: when
когда: whenever
пока: while
полный: whole
жена: wife
выигрывать: win
ветер: wind
окно: window
выигрывает: wins
зима: winter
желать: wish
желания: wishes
с: with
без: without
выиграл: won
дерево: wood
деревянный: wooden
слова: words
работа: work
работники: workers
работать: working
работает: works
мир: world
хуже: worse
худший: worst
стоимость: worth
бы: would
писать: write
писатель: writer
пишет: writes
писать: writing
написал: written
неправильный: wrong
двор: yard
год: year
пока еще: yet
молодой: young
молодой: younger
молодежь: youth
зона: zone
зоопарк: zoo
